NOppm,O3ppm,NO2ppm,SO2ppm,H2Sppm,COppm,Time Since Start:
0.495828662109375,0.12378026855468752,0.04007456634521484,0.5768371875000001,4.194993359375,0.7075891796875,5000.0
0.04120361328125,0.10431501403808596,0.04380728045654297,0.5653034375,4.003820385742188,0.66385494140625,10000.0
0.008552783203125,0.10158535705566406,0.041494263244628904,0.5637421875,3.775928515625,0.62867341796875,15000.0
0.007593701171875,0.11053448852539062,0.05145912725830078,0.553508125,3.70311279296875,0.6040785351562501,20000.0
0.01358642578125,0.10028609497070312,0.04847549945068359,0.551161875,3.590228564453125,0.6124323046875,25000.0
0.038226904296875,0.09971580383300784,0.04623165252685547,0.5772503125,3.5463271484375,0.534009609375,30000.0
0.023552880859375,0.11278560180664063,0.053257709838867184,0.55252625,3.553727392578125,0.6079119921875,35000.0
0.019594873046875,0.10681359497070313,0.05063218560791015,0.5744446875,3.5555230224609375,0.61338513671875,40001.0
0.009021044921875,0.10776453552246094,0.0435171064453125,0.5345259375,3.543890307617188,0.58497548828125,45000.0
0.017516064453125,0.10721382324218752,0.04957803662109375,0.5733315625,3.4615927978515626,0.5750941796875,50000.0
0.021542431640625,0.10860050720214844,0.04879653643798828,0.5479925,3.5230904296875,0.57688533203125,55000.0
0.020669824218750004,0.10472844665527344,0.04860701605224609,0.5841309375,3.507328125,0.59489912109375,60000.0
0.021398876953125,0.10675235412597656,0.04741948937988281,0.555216875,3.4767701171875007,0.56680099609375,65000.0
0.019958544921875,0.10715827392578126,0.05007246459960937,0.561866875,3.543252685546875,0.573408515625,70000.0
0.0169927734375,0.1060174639892578,0.043507956115722654,0.55935125,3.50284921875,0.5698522070312501,75000.0
0.018732519531250002,0.10361928161621094,0.052624476013183596,0.552368125,3.5261684814453127,0.557542734375,80001.0
0.029645410156250003,0.10811285705566406,0.05213113366699218,0.5607103125,3.502258251953125,0.5292026953125,85000.0
0.0271564453125,0.10597602966308593,0.04941674267578125,0.559064375,3.5482113037109375,0.49018212890625007,90000.0
0.02603193359375,0.10343692504882812,0.0497425874633789,0.5475515625,3.549784423828125,0.5113659375,95000.0
0.031794970703125,0.10869862915039062,0.053436684082031255,0.572441875,3.560891967773438,0.55173228515625,100001.0
0.028002392578125,0.10560630798339844,0.042985611877441404,0.55967625,3.5749914306640624,0.54009076171875,105000.0
0.009212451171875,0.10394119445800783,0.038502880920410154,0.5870075,3.5173733642578124,0.5946269140625,110000.0
0.024170849609375,0.10587654174804688,0.04556600482177734,0.5660128125,3.5050396240234374,0.59151146484375,115000.0
0.0262978515625,0.10889100280761718,0.048396713562011716,0.5444403125,3.58464189453125,0.60683498046875,120000.0
0.0234978515625,0.10501848693847657,0.04216270257568359,0.5595828125,3.5019149169921877,0.62091712890625,125000.0
0.023468115234375,0.10606322387695312,0.04434234210205078,0.5522746875,3.4938902099609375,0.60918236328125,130000.0
0.017242626953125,0.10692082336425782,0.046758649475097655,0.544593125,3.46962587890625,0.6002695703125,135000.0
0.034149267578125,0.10834029052734374,0.04164671704101563,0.5538621875,3.5138610595703126,0.60214150390625,140000.0
0.03466162109375,0.11010011108398439,0.036523618103027344,0.567396875,3.4334895751953125,0.615021171875,145000.0
0.00952861328125,0.10577773681640625,0.04161461334228515,0.556058125,3.427246142578125,0.6005651953125,150000.0
0.019342626953125,0.10543100891113281,0.04031231982421875,0.564144375,3.46870712890625,0.623116484375,155000.0
0.025778662109375,0.10632913208007813,0.044348700805664054,0.544946875,3.3912773193359373,0.61617703125,160000.0
0.023643115234375,0.10284386779785157,0.045482256042480476,0.5408315625,3.439625341796875,0.6368351171875,165000.0
0.021504492187500005,0.10462486083984375,0.042596490234375,0.5615359375,3.4568865966796873,0.62760607421875,170000.0
0.018973828125,0.10204477722167969,0.04383767816162109,0.5524981250000001,3.4518191162109373,0.6269140625,174999.0
0.023003271484375,0.102895546875,0.044809474182128904,0.53686375,3.4452072265625007,0.571957890625,180000.0
0.032213671875,0.10581712219238282,0.045425648071289064,0.5272225,3.4807908447265623,0.57258888671875,185000.0
0.038912890625,0.09177726013183594,0.036095723876953124,0.600311875,3.4032354248046874,0.62951603515625,190000.0
0.007241650390625,0.10238148803710939,0.04636921765136719,0.5534346875,3.492425952148438,0.5996142968750001,195000.0
